gene,statistic_ir,pvalue_ir,statistic_gc,pvalue_gc,statistic_ic,pvalue_ic,n_spots_expressed,n_isoforms,sample_id,sample_type,padj_ir,padj_gc,padj_ic,padj_global
CLU,8.761192623681168e-05,3.3263124060514754e-16,0.0574333111926915,1.3982969048724349e-95,0.6303001277289354,7.632906260418659e-93,2729,8,GBM_2,GBM,2.162103063933459e-15,4.544464940835413e-95,4.961389069272128e-92,3.9980841748725766e-15
TIMP1,6.583932743326298e-05,3.3317368123938137e-16,0.0798882400792226,1e-300,0.4585181176091838,1e-300,2151,5,DMG_1,DMG,1.24940130464768e-15,3.75e-300,5e-300,3.9980841748725766e-15
LGALS1,8.200841715831488e-05,4.063731034728691e-16,0.0287057777711238,6.835152889751203e-191,1.435697934789768,2.5737116181054023e-182,1886,5,DMG_3,DMG,4.673290689937995e-15,7.860425823213883e-190,2.959768360821213e-181,4.571697414069778e-15
B2M,5.372190423448014e-05,7.129459731157852e-15,0.0055986886629224,7.945494595819549e-20,0.3795046168691408,3.7909547034821043e-22,1764,4,GBM_3,GBM,7.129459731157853e-14,1.13507065654565e-19,7.581909406964209e-22,7.548839715343609e-14
B2M,4.216904782035545e-05,3.9651632778824143e-13,0.0321949748254128,1.7347012902471446e-41,2.478519058727655,9.52901531393947e-52,1051,6,DMG_2,DMG,3.436474840831425e-12,6.443176220917964e-41,6.193859954060656e-51,3.965163277882413e-12
ITM2B,0.0001925557822345,3.89251927999671e-12,0.0051435524492374,8.616422485789412e-18,0.3326189700398356,1.7671071197365704e-10,1599,5,GBM_3,GBM,2.5950128533311398e-11,1.1488563314385885e-17,2.945178532894284e-10,3.68764984420741e-11
TIMP1,8.135521592519416e-05,4.862706882515284e-12,0.0729772680458206,1.0528609557582596e-104,0.4644388382924389,7.480382995309144e-94,2688,6,GBM_2,GBM,2.1071729824232897e-11,6.843596212428687e-104,9.724497893901887e-93,4.376436194263756e-11
CLU,9.298455655055926e-05,1.6002976896962657e-11,0.1410273351568857,3.1786899123079402e-167,0.5536157305387444,3.724633202740381e-113,2361,8,GBM_4,GBM,1.9203572276355188e-10,1.9072139473847638e-166,4.469559843288457e-112,1.3716837340253707e-10
CLU,0.0001475315434814,2.0836555801991177e-10,0.1049652054129062,1.7027495313754544e-36,1.0761778698668818,3.781746784271125e-27,1003,8,DMG_5,DMG,4.792407834457971e-09,1.3054413073878485e-35,4.349008801911793e-26,1.7048091110720054e-09
SPARC,2.937477223559195e-05,3.411922737542457e-09,0.0016710940195788,9.09253592125144e-88,0.0644643615231105,1.7605761712662276e-08,696,2,DMG_1,DMG,1.023576821262737e-08,1.239891261988833e-87,2.0314340437687244e-08,2.6702004032940967e-08
LGALS3,8.839538541845495e-05,6.067612265764326e-09,0.0029083976162185,3.19990563714872e-21,0.1813601852427609,1.4306810120244597e-12,968,4,GBM_2,GBM,1.9719739863734055e-08,4.1598773282933356e-21,2.3248566445397468e-12,4.5507091993232446e-08
SPP1,3.7125215041022215e-05,1.5829656790661558e-08,0.0325091170469873,1e-300,0.091415456642474,1.0476992803688372e-55,1015,3,DMG_1,DMG,3.957414197665389e-08,3.75e-300,1.7461654672813956e-55,1.139735288927632e-07
