gene,statistic_ir,pvalue_ir,statistic_gc,pvalue_gc,statistic_ic,pvalue_ic,n_spots_expressed,n_isoforms,padj_ir,padj_gc,padj_ic,sample,n_spots,padj_ir_global,padj_gc_global,padj_ic_global
APP,9.81124833502571e-05,1.2194497005209678e-07,0.003210754172068687,1.1894218257589034e-14,0.28144328295062637,1.0585816823063981e-11,1178,3,5.28428203559086e-07,1.932810466858218e-14,3.4403904674957935e-11,ZH1007inf,1400,3.984987414202448e-07,1.7988776373047876e-14,2.105657041979031e-11
SERPINE2,6.456657880985304e-05,0.0001132231616343127,0.000549330209555653,1.357640894001545e-06,0.14388861506814224,0.00010333356600565457,615,2,0.0003679752753115163,1.9610368468911206e-06,0.00022388939301225158,ZH1007inf,1400,0.00027262945498788453,1.7746305971591624e-06,0.00014889797306326605
C3,3.649813529075162e-05,0.00041294057278668217,0.00222813869571205,6.826141292101948e-31,0.44453139048155715,3.6554981652372536e-42,1361,2,0.0010736454892453736,1.478997279955422e-30,1.584049204936143e-41,ZH1007inf,1400,0.0009446015602495354,1.3727295125875347e-30,1.365216661711056e-41
HMGB1,0.00018649168193569932,0.0007376313082969591,0.001956979550365994,0.0015535315970356901,0.27480657484813276,0.0006403660511705878,1286,4,0.0015982011679767448,0.0016829925634553311,0.0011892512378882344,ZH1007inf,1400,0.0016069824930755182,0.0016922397753424481,0.0008616690247368939
VCAN,0.0002575603682923676,0.0009625760706748011,0.0008571310122581402,0.0013989327664739818,0.5014092412140312,0.0009950092889506152,766,8,0.0017876412741103449,0.0016532841785601602,0.0016168900945447498,ZH1007inf,1400,0.0020247289762469955,0.0015421969654502328,0.001319468839695381
NCAM1,0.00017044576337847352,0.017254778050064673,0.00035302302522148863,0.5678533317224745,0.35748028432196305,0.09547697941586701,574,6,0.028039014331355094,0.5678533317224745,0.10343339436718925,ZH1007inf,1400,0.03189519578951349,0.5709734049736969,0.1071919462153599
ITM2B,5.611302686941649e-05,0.12597251161165263,0.005535071798668057,6.2360972853543025e-49,0.12231675391002518,1.6575633943710982e-05,1368,2,0.17449596184830427,2.0267316177401483e-48,4.309664825364855e-05,ZH1007inf,1400,0.18442375699945945,1.6302940045997677e-48,2.5925991552983844e-05
COL3A1,0.00012904881046668572,0.13422766296023406,0.0042733822425109706,9.228636886235839e-33,0.05577504942922114,0.0017206585117382988,845,2,0.17449596184830427,2.399445590421318e-32,0.002485395628066432,ZH1007inf,1400,0.19190361188845964,1.9191369888422257e-32,0.002233195089702898
SERPINE1,9.078567262133598e-05,0.344464049023996,0.0033159288525057224,3.640910190479e-76,0.07180397399641643,0.0853279718330316,541,2,0.407093876119268,2.36659162381135e-75,0.10084214852994644,ZH1007inf,1400,0.4317597326807622,1.359768499709504e-75,0.09638900521879495
TIMP2,0.00013687555130851718,0.4906540989607685,0.0006619773585402494,0.0007388467364696413,0.08721386418449131,0.0419744547557685,877,2,0.5315419405408325,0.0009605007574105337,0.054566791182499054,ZH1007inf,1400,0.5791805126893382,0.0008244448339874655,0.04923926423272843
COL1A2,9.891060649393102e-05,0.7732816436714302,0.0035699968389446305,2.5462296405575542e-27,0.03869277380301047,0.8210638007258123,765,2,0.7732816436714302,4.728712189606886e-27,0.8210638007258123,ZH1007inf,1400,0.7994945807450379,4.90484236023192e-27,0.8301363289106279
SPP1,5.913046190905473e-05,3.0964371587405525e-21,0.016462414893815443,2.3615243756633575e-70,0.06518427727844282,7.887021794013647e-05,951,2,4.3350120222367735e-20,3.3061341259287007e-69,0.0001003802773783555,ZH1007nec,952,2.4636869567370484e-20,7.857435649934444e-70,0.00011454960224638868
HMGB1,0.00021932350363060928,1.1557146028562798e-19,0.0069443571549303185,1.2505545054261087e-22,0.5793646325692243,4.892990244502672e-18,940,4,8.090002219993958e-19,1.9453070084406136e-22,3.4250931711518704e-17,ZH1007nec,952,8.459830892907967e-19,2.1387988270371765e-22,1.178180545715775e-17
C3,0.00016616190401564558,1.505455680679463e-08,0.002636426882457032,6.696530961531959e-28,0.2637050080253261,1.1705722954256327e-12,912,2,7.025459843170828e-08,1.5625238910241238e-27,4.097003033989714e-12,ZH1007nec,952,5.101822028969291e-08,1.303686346766328e-27,2.406907079358323e-12
SERPINE2,0.0001364454809016001,6.393915995529139e-07,0.002948009389423143,5.3269684552072905e-51,0.32004095138539596,1.7332068271069164e-17,574,2,2.2378705984351984e-06,2.485918612430069e-50,8.088298526498943e-17,ZH1007nec,952,1.9831976731895463e-06,1.433581216621962e-50,4.1191798618255286e-17
