gene,n_isoforms,pval_ref,pval_local,pval_official_match,stat_local,stat_official,hsic_trace,log10_diff_local,log10_diff_official,abs_diff
EIF2S3,3,0.0206226897832701,0.018590236138201103,0.019180628679480366,3.279835308380796e-05,3.279835308380796e-05,160.33543781560996,-0.045060402619005124,-0.03148247110384372,0.045060402619005124
SLC6A8,2,0.4631263344336861,0.3865939191228519,0.3905735078562799,1.0664859602787785e-05,1.0664859602787785e-05,52.135390130279745,-0.07844445811443379,-0.073996694419313,0.07844445811443379
IL13RA1,2,0.7867278755749159,0.8350259737071077,0.8379444922351301,7.444299108276421e-06,7.444299108276421e-06,36.39161252109056,0.025875446047803008,0.027390712220947716,0.025875446047803008
PDHA1,2,0.4182088540298026,0.6223269021003821,0.6264932110272453,7.117040895697138e-06,7.117040895697138e-06,34.79180387647427,0.17262535201631585,0.17552314597539995,0.17262535201631585
SHROOM2,2,0.9131895569936012,0.8630160413027943,0.8656313631153817,3.08760830393566e-06,3.08760830393566e-06,15.093838033563857,-0.02454206812903218,-0.023227953179598353,0.02454206812903218
DIAPH2,2,0.3449631742493514,0.30770329184602446,0.31129954324885545,2.589408633954141e-06,2.589408633954141e-06,12.658378484666132,-0.049640593032917235,-0.04459425196995692,0.049640593032917235
NONO,2,0.8205366234686138,0.8051804035864419,0.8083785945231343,4.603916350621973e-06,4.603916350621973e-06,22.506341762258877,-0.008204773407139335,-0.0064831648432127215,0.008204773407139335
PRPS1,2,0.9340439550908666,0.9411468527757618,0.9426321845062579,3.258014554227265e-06,3.258014554227265e-06,15.926872566645624,0.0032900801456653417,0.003974949756448562,0.0032900801456653417
KRBOX4,3,0.4321335439663966,0.5228124414877662,0.5287743004291272,5.37348143295109e-06,5.37348143295109e-06,26.268376828091494,0.08272793471010748,0.08765236001556054,0.08272793471010748
KDM6A,2,0.3892087915873845,0.42710649065185013,0.4312204438877238,3.6602911367461928e-06,3.6602911367461928e-06,17.893410088097635,0.040353529657093545,0.04451670058649049,0.040353529657093545
VBP1,2,0.2108765561095951,0.14488935788045462,0.14713237001949128,9.048214730313533e-06,9.048214730313533e-06,44.23238772164704,-0.1629918126497535,-0.156320069697518,0.1629918126497535
OGT,2,0.9600057365539116,0.9372632950320894,0.9388179964217637,3.13873534405022e-06,3.13873534405022e-06,15.343773642831726,-0.010412218609546803,-0.009692422093073933,0.010412218609546803
